净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-05-04,1.0050,1.0050,0.10%,开放申购,开放赎回,
2016-05-03,1.0040,1.0040,0.10%,开放申购,开放赎回,
2016-04-29,1.0030,1.0030,0.00%,开放申购,开放赎回,
2016-04-28,1.0030,1.0030,0.00%,开放申购,开放赎回,
2016-04-27,1.0030,1.0030,0.00%,开放申购,开放赎回,
2016-04-26,1.0030,1.0030,0.00%,开放申购,开放赎回,
2016-04-25,1.0030,1.0030,0.00%,开放申购,开放赎回,
2016-04-22,1.0030,1.0030,-0.10%,开放申购,开放赎回,
2016-04-21,1.0040,1.0040,0.00%,开放申购,开放赎回,
2016-04-20,1.0040,1.0040,-0.10%,开放申购,开放赎回,
2016-04-19,1.0050,1.0050,0.00%,开放申购,开放赎回,
2016-04-18,1.0050,1.0050,0.00%,开放申购,开放赎回,
2016-04-15,1.0050,1.0050,0.00%,开放申购,开放赎回,
2016-04-14,1.0050,1.0050,-0.10%,开放申购,开放赎回,
2016-04-13,1.0060,1.0060,0.00%,开放申购,开放赎回,
2016-04-12,1.0060,1.0060,0.00%,开放申购,开放赎回,
2016-04-11,1.0060,1.0060,0.00%,开放申购,开放赎回,
2016-04-08,1.0060,1.0060,0.00%,开放申购,开放赎回,
2016-04-07,1.0060,1.0060,0.00%,开放申购,开放赎回,
2016-04-06,1.0060,1.0060,0.00%,开放申购,开放赎回,
2016-04-05,1.0060,1.0060,0.10%,开放申购,开放赎回,
2016-04-01,1.0050,1.0050,0.00%,开放申购,开放赎回,
2016-03-31,1.0050,1.0050,0.00%,开放申购,开放赎回,
2016-03-30,1.0050,1.0050,0.10%,开放申购,开放赎回,
2016-03-29,1.0040,1.0040,-0.10%,开放申购,开放赎回,
2016-03-28,1.0050,1.0050,0.00%,开放申购,开放赎回,
2016-03-25,1.0050,1.0050,0.10%,限制大额申购,开放赎回,
2016-03-24,1.0040,1.0040,0.00%,限制大额申购,开放赎回,
2016-03-23,1.0040,1.0040,0.00%,限制大额申购,开放赎回,
2016-03-22,1.0040,1.0040,0.00%,限制大额申购,开放赎回,
2016-03-21,1.0040,1.0040,0.10%,限制大额申购,开放赎回,
2016-03-18,1.0030,1.0030,0.10%,限制大额申购,开放赎回,
2016-03-17,1.0020,1.0020,0.10%,限制大额申购,开放赎回,
2016-03-16,1.0010,1.0010,0.00%,限制大额申购,开放赎回,
2016-03-15,1.0010,1.0010,0.00%,限制大额申购,开放赎回,
2016-03-14,1.0010,1.0010,0.10%,限制大额申购,开放赎回,
2016-03-11,1.0000,1.0000,0.00%,限制大额申购,开放赎回,
2016-03-10,1.0000,1.0000,0.00%,限制大额申购,开放赎回,
2016-03-09,1.0000,1.0000,0.00%,限制大额申购,开放赎回,
2016-03-08,1.0000,1.0000,0.00%,限制大额申购,开放赎回,
2016-03-07,1.0000,1.0000,0.10%,限制大额申购,开放赎回,
2016-03-04,0.9990,0.9990,0.00%,限制大额申购,开放赎回,
2016-03-03,0.9990,0.9990,0.00%,限制大额申购,开放赎回,
2016-03-02,0.9990,0.9990,0.00%,限制大额申购,开放赎回,
2016-03-01,0.9990,0.9990,0.10%,限制大额申购,开放赎回,
2016-02-29,0.9980,0.9980,-0.10%,限制大额申购,开放赎回,
2016-02-26,0.9990,0.9990,0.00%,限制大额申购,开放赎回,
2016-02-25,0.9990,0.9990,-0.10%,限制大额申购,开放赎回,
2016-02-24,1.0000,1.0000,0.00%,限制大额申购,开放赎回,
2016-02-23,1.0000,1.0000,0.10%,限制大额申购,开放赎回,
2016-02-22,0.9990,0.9990,0.00%,限制大额申购,开放赎回,
2016-02-19,0.9990,0.9990,0.00%,限制大额申购,开放赎回,
2016-02-18,0.9990,0.9990,0.10%,限制大额申购,开放赎回,
2016-02-17,0.9980,0.9980,0.00%,限制大额申购,开放赎回,
2016-02-16,0.9980,0.9980,0.00%,限制大额申购,开放赎回,
2016-02-15,0.9980,0.9980,0.10%,限制大额申购,开放赎回,
2016-02-05,0.9970,0.9970,0.00%,限制大额申购,开放赎回,
2016-02-04,0.9970,0.9970,0.10%,限制大额申购,开放赎回,
2016-02-03,0.9960,0.9960,0.00%,限制大额申购,开放赎回,
2016-02-02,0.9960,0.9960,0.00%,限制大额申购,开放赎回,
2016-02-01,0.9960,0.9960,0.00%,限制大额申购,开放赎回,
2016-01-29,0.9960,0.9960,0.10%,限制大额申购,开放赎回,
2016-01-28,0.9950,0.9950,-0.10%,限制大额申购,开放赎回,
2016-01-27,0.9960,0.9960,0.00%,限制大额申购,开放赎回,
2016-01-26,0.9960,0.9960,-0.10%,限制大额申购,开放赎回,
2016-01-25,0.9970,0.9970,0.10%,限制大额申购,开放赎回,
2016-01-22,0.9960,0.9960,0.00%,限制大额申购,开放赎回,
2016-01-21,0.9960,0.9960,-0.10%,限制大额申购,开放赎回,
2016-01-20,0.9970,0.9970,0.00%,限制大额申购,开放赎回,
2016-01-19,0.9970,0.9970,0.10%,限制大额申购,开放赎回,
2016-01-18,0.9960,0.9960,0.00%,限制大额申购,开放赎回,
2016-01-15,0.9960,0.9960,0.00%,限制大额申购,开放赎回,
2016-01-14,0.9960,0.9960,0.10%,限制大额申购,开放赎回,
2016-01-13,0.9950,0.9950,-0.10%,限制大额申购,开放赎回,
2016-01-12,0.9960,0.9960,0.00%,限制大额申购,开放赎回,
2016-01-11,0.9960,0.9960,-0.10%,限制大额申购,开放赎回,
2016-01-08,0.9970,0.9970,0.00%,限制大额申购,开放赎回,
2016-01-07,0.9970,0.9970,-0.20%,限制大额申购,开放赎回,
2016-01-06,0.9990,0.9990,0.10%,限制大额申购,开放赎回,
2016-01-05,0.9980,0.9980,-0.10%,限制大额申购,开放赎回,
2016-01-04,0.9990,0.9990,-0.20%,限制大额申购,开放赎回,
2015-12-31,1.0010,1.0010,0.00%,限制大额申购,开放赎回,
2015-12-30,1.0010,1.0010,0.10%,限制大额申购,开放赎回,
2015-12-29,1.0000,1.0000,0.10%,限制大额申购,开放赎回,
2015-12-28,0.9990,0.9990,-0.20%,限制大额申购,开放赎回,
2015-12-25,1.0010,1.0010,0.00%,限制大额申购,开放赎回,
2015-12-24,1.0010,1.0010,0.00%,限制大额申购,开放赎回,
2015-12-23,1.0010,1.0010,0.00%,限制大额申购,开放赎回,
2015-12-22,1.0010,1.0010,0.00%,限制大额申购,开放赎回,
2015-12-21,1.0010,1.0010,0.10%,限制大额申购,开放赎回,
2015-12-18,1.0000,1.0000,0.10%,限制大额申购,开放赎回,
2015-12-17,0.9990,0.9990,0.20%,限制大额申购,开放赎回,
2015-12-16,0.9970,0.9970,-0.10%,限制大额申购,开放赎回,
2015-12-15,0.9980,0.9980,0.00%,限制大额申购,开放赎回,
2015-12-14,0.9980,0.9980,0.20%,限制大额申购,开放赎回,
2015-12-11,0.9960,0.9960,-0.10%,限制大额申购,开放赎回,
2015-12-10,0.9970,0.9970,0.00%,限制大额申购,开放赎回,
2015-12-09,0.9970,0.9970,0.10%,限制大额申购,开放赎回,
2015-12-08,0.9960,0.9960,-0.20%,限制大额申购,开放赎回,
2015-12-07,0.9980,0.9980,0.10%,限制大额申购,开放赎回,
2015-12-04,0.9970,0.9970,-0.10%,限制大额申购,开放赎回,
2015-12-03,0.9980,0.9980,0.10%,限制大额申购,开放赎回,
2015-12-02,0.9970,0.9970,0.10%,限制大额申购,开放赎回,
2015-12-01,0.9960,0.9960,0.10%,限制大额申购,开放赎回,
2015-11-30,0.9950,0.9950,0.00%,限制大额申购,开放赎回,
2015-11-27,0.9950,0.9950,-0.40%,限制大额申购,开放赎回,
2015-11-26,0.9990,0.9990,0.00%,限制大额申购,开放赎回,
2015-11-25,0.9990,0.9990,,限制大额申购,开放赎回,
2015-11-20,1.0000,1.0000,0.00%,封闭期,封闭期,
2015-11-19,1.0000,1.0000,,封闭期,封闭期,
